starid,Teff,Prot,ref,source,source_id,ra,dec,angular_distance
KIC2141781,5103.000000,17.35,santos19,kepler,Gaia DR3 2099076931335095808,286.369818,37.550122,0.000038
KIC2142091,5022.000000,12.88,santos19,kepler,Gaia DR3 2099075999323003520,286.476888,37.505581,0.000019
KIC2142372,3705.000000,18.47,santos19,kepler,Gaia DR3 2099122767224469504,286.574128,37.516931,0.000154
KIC2142451,3489.000000,33.29,santos19,kepler,Gaia DR3 2099122114390514944,286.600210,37.527556,0.000144
KIC2156061,4260.000000,29.38,santos19,kepler,Gaia DR3 2051087062715929728,290.492979,37.543939,0.000216
KIC2156545,4231.000000,32.6,santos19,kepler,Gaia DR3 2051085379088881792,290.608933,37.545413,0.000037
KIC2156718,4278.000000,21.51,santos19,kepler,Gaia DR3 2051085619607113600,290.651463,37.563010,0.000003
KIC2156807,5135.000000,28.38,santos19,kepler,Gaia DR3 2051084210857805568,290.671361,37.508892,0.000068
KIC2156848,5113.000000,16.08,santos19,kepler,Gaia DR3 2051085001131858816,290.680609,37.565592,0.000011
KIC2157184,4599.000000,27.61,santos19,kepler,Gaia DR3 2051037481612144896,290.761785,37.505714,0.000079
KIC2157356,3651.000000,13.52,santos19,kepler,Gaia DR3 2052538658580396160,290.800290,37.517740,0.000152
KIC2157676,4815.000000,24.71,santos19,kepler,Gaia DR3 2052538177544090368,290.869262,37.536986,0.000115
KIC2157986,5162.000000,46.75,santos19,kepler,Gaia DR3 2052536803154591104,290.945890,37.560836,0.000083
KIC2158543,4837.000000,20.21,santos19,kepler,Gaia DR3 2052536047240144896,291.083871,37.539295,0.000015
KIC2159486,4879.000000,5.61,santos19,kepler,Gaia DR3 2052527938341973504,291.296474,37.549615,0.000019
KIC2160105,4458.000000,16.88,santos19,kepler,Gaia DR3 2051776593946374400,291.434242,37.518620,0.000036
KIC2161536,3967.000000,27.04,santos19,kepler,Gaia DR3 2051797274209237376,291.726226,37.528970,0.000076
KIC2161569,4489.000000,20.78,santos19,kepler,Gaia DR3 2051796694393841664,291.732388,37.518100,0.000124
KIC2161648,4713.000000,31.7,santos19,kepler,Gaia DR3 2051797415948373120,291.752374,37.563010,0.000119
KIC2162268,4791.000000,10.98,santos19,kepler,Gaia DR3 2051790750159187456,291.887865,37.542970,0.000029
KIC2162907,3827.000000,26.3,santos19,kepler,Gaia DR3 2051789680705729920,292.041274,37.596544,0.000184
KIC2163101,4112.000000,25.05,santos19,kepler,Gaia DR3 2051789547568156544,292.076779,37.597804,0.000114
KIC2163610,3913.000000,20.78,santos19,kepler,Gaia DR3 2051835314737106176,292.175531,37.558736,0.000055
KIC2163634,4594.000000,29.59,santos19,kepler,Gaia DR3 2051835005499426560,292.178911,37.514595,0.000009
KIC2165002,4987.000000,21.96,santos19,kepler,Gaia DR3 2051832634677771008,292.469803,37.567794,0.000035
KIC2166534,5110.000000,33.05,santos19,kepler,Gaia DR3 2051823907304498560,292.802505,37.577847,0.000064
KIC2166547,3744.000000,26.67,santos19,kepler,Gaia DR3 2051823804225267712,292.804750,37.551627,0.000221
KIC2167693,3770.000000,17.35,santos19,kepler,Gaia DR3 2051657193857592064,293.054083,37.558911,0.000069
KIC2168638,5144.000000,18.73,santos19,kepler,Gaia DR3 2051662863214226560,293.247330,37.596779,0.000122
KIC2282652,5089.000000,14.69,santos19,kepler,Gaia DR3 2099839580086371840,285.862572,37.682466,0.000014
KIC2282663,4272.000000,34.22,santos19,kepler,Gaia DR3 2099839167769193472,285.865903,37.630892,0.000057
KIC2282712,3452.000000,19.79,santos19,kepler,Gaia DR3 2099839270848409984,285.882486,37.641006,0.000135
KIC2282783,4895.000000,17.04,santos19,kepler,Gaia DR3 2099840817036639488,285.907932,37.675405,0.000028
KIC2282944,4492.000000,32.15,santos19,kepler,Gaia DR3 2099089781877063296,285.967793,37.614683,0.000075
KIC2283092,4882.000000,33.75,santos19,kepler,Gaia DR3 2099090537791384064,286.023355,37.699415,0.000206
KIC2283703,5040.000000,2.47,santos19,kepler,Gaia DR3 2099091598642082944,286.218182,37.637018,0.000062
KIC2283749,3694.000000,1.6,santos19,kepler,Gaia DR3 2099091602943360768,286.232799,37.643274,0.000101
KIC2283892,4331.000000,44.23,santos19,kepler,Gaia DR3 2099079542675199488,286.279815,37.611440,0.000030
KIC2284116,4410.000000,42.43,santos19,kepler,Gaia DR3 2099081707338795136,286.349936,37.685604,0.000212
KIC2284312,4916.000000,29.38,santos19,kepler,Gaia DR3 2099080642186916480,286.411332,37.648103,0.000142
KIC2284882,4788.000000,15.11,santos19,kepler,Gaia DR3 2099172485765994624,286.591933,37.676686,0.000061
KIC2284919,3560.000000,29.99,santos19,kepler,Gaia DR3 2099172313967305856,286.603208,37.671315,0.000022
KIC2285481,4374.000000,31.27,santos19,kepler,Gaia DR3 2099130425148757248,286.795260,37.652787,0.000094
KIC2298664,5062.000000,17.23,santos19,kepler,Gaia DR3 2051101906123017728,290.452231,37.689753,0.000023
KIC2299540,4930.000000,25.4,santos19,kepler,Gaia DR3 2051085825765600896,290.667239,37.600147,0.000089
KIC2299707,4270.000000,45.47,santos19,kepler,Gaia DR3 2052587037093197312,290.710079,37.622201,0.000153
KIC2299738,5094.000000,6.53,santos19,kepler,Gaia DR3 2052587243251659392,290.717217,37.649023,0.000029
KIC2299823,4782.000000,7.5,santos19,kepler,Gaia DR3 2052587552489320320,290.737565,37.647936,0.000087
KIC2299892,3681.000000,21.38,santos19,kepler,Gaia DR3 2052587758647794176,290.755414,37.684486,0.000088
KIC2300039,3408.000000,1.69,santos19,kepler,Gaia DR3 2052586899654344576,290.790136,37.661053,0.000023
KIC2300096,5086.000000,37.45,santos19,kepler,Gaia DR3 2052586590416679552,290.802352,37.622090,0.000051
KIC2300440,4433.000000,20.78,santos19,kepler,Gaia DR3 2052540926323193600,290.876581,37.631374,0.000107
KIC2300770,4916.000000,21.51,santos19,kepler,Gaia DR3 2052540685805056768,290.958241,37.648451,0.000026
KIC2301872,4110.000000,22.59,santos19,kepler,Gaia DR3 2052532095870310400,291.212236,37.617124,0.000214
KIC2302108,4998.000000,11.45,santos19,kepler,Gaia DR3 2052531339956079616,291.265743,37.605534,0.000024
