starid,Prot,ref,source,source_id,Porb,eccentricity,semi_amplitude_primary,massfunc
KIC5820851,20.32,santos21,kepler,Gaia DR3 2075124620295927808,489.3055988640218,0.3760743925485437,,
KIC5854567,7.71,santos21,kepler,Gaia DR3 2104358916473379328,503.58814256312655,0.1989113426559743,,
KIC5854943,1.62,santos21,kepler,Gaia DR3 2104452718557824512,1.6398362633409396,0.0417072838219993,69.49980348536486,0.0568887190880373
KIC5857421,3.8,santos21,kepler,Gaia DR3 2103667564176746752,428.7436847422659,0.6442674284320117,,
KIC5878747,27.0,santos21,kepler,Gaia DR3 2053608479093678336,27.305204924410845,0.037589681521185,21.049229589828457,0.026329465032266436
KIC5880515,36.62,santos21,kepler,Gaia DR3 2077571377249925248,733.8790728272465,0.227270595922186,,
KIC5954624,18.47,santos21,kepler,Gaia DR3 2101418306987230720,238.93889005604893,0.0687713492684113,,
KIC5978209,12.68,santos21,kepler,Gaia DR3 2076834081685197312,877.8764965383899,0.2471635363147194,,
KIC6021874,28.58,santos21,kepler,Gaia DR3 2104458216116079104,25.740113670703646,0.3716065042553926,34.26018952339629,0.08581845204766794
KIC6026059,17.23,santos21,kepler,Gaia DR3 2103862899290634496,484.0253945880051,0.5273395934184226,,
KIC6026593,36.68,santos21,kepler,Gaia DR3 2103814005383038336,471.9996420029578,0.5609530108731592,,
KIC6036221,23.39,santos21,kepler,Gaia DR3 2101470808667460096,447.90398573247694,0.5334998982367111,,
KIC6038810,20.21,santos21,kepler,Gaia DR3 2101785818747862016,900.5764098703313,0.2145958699066326,,
KIC6058544,5.23,santos21,kepler,Gaia DR3 2076827179682388992,445.9252836264634,0.2748274476691791,,
KIC6101189,17.47,santos21,kepler,Gaia DR3 2104424990249410560,547.0136523647832,0.403276423511036,,
KIC6105540,7.23,santos21,kepler,Gaia DR3 2104038580632160256,12.02969438952313,0.4250769831206539,35.02179274609797,0.03970551695741369
KIC6131221,2.05,santos21,kepler,Gaia DR3 2077403594344138624,316.01355335631075,0.2364777145431942,,
KIC6185416,2.05,santos21,kepler,Gaia DR3 2104100703039251968,2.0876475901420464,0.0053540781752015,41.50771001930515,0.01546799215774747
KIC6185841,6.84,santos21,kepler,Gaia DR3 2104098160418655488,1.8274156883519088,0.1822314974330298,17.287675511617884,0.0009299414814018832
KIC6187639,2.98,santos21,kepler,Gaia DR3 2103877364740680704,130.3877452241399,0.3145502813049701,,
KIC6188207,3.17,santos21,kepler,Gaia DR3 2103866812002426880,3.2505535480548926,0.0386417891325861,24.083576191688483,0.004694138601942688
KIC6191036,3.99,santos21,kepler,Gaia DR3 2100922629102307840,3.885136171025015,0.1193959263309524,80.3803597050379,0.20460291026811536
KIC6280416,3.85,santos21,kepler,Gaia DR3 2101805987914236160,488.71354147200896,0.6650854470224432,,
KIC6289892,22.99,santos21,kepler,Gaia DR3 2077584360928466688,25.39201734500174,0.1810994125126925,12.109522987329385,0.004443895885708968
KIC6291564,15.74,santos21,kepler,Gaia DR3 2077422633945893248,654.1755477555857,1.0594875561008803e-06,,
KIC6369255,6.18,santos21,kepler,Gaia DR3 2077610031956371200,684.757396985516,0.1033769258399301,,
