uid,SHK,SIndex,SIndexSigma,teff,subclass,source
L16251002748902,0.252,0.2204495398123568,0.0058723936421601,5917.91,G2,Isaacson2010
G14026501399387,0.135,0.1977333800468519,0.0091432822822477,5917.97,G2,Isaacson2024
L16292098087638,0.1693333333335,0.2108366136915376,0.001371430022843,5918.885,G3,Isaacson2010
G14087092161489,0.121,0.17714999394373368,0.00311753547680705,5922.524999999999,G0,Isaacson2024
G14061345284150,0.136,0.1931189032714182,0.0039060163037446,5923.48,G3,Isaacson2024
G14026896936552,0.161,0.2178235823318591,0.007512694382004,5928.71,G3,Isaacson2024
L14081691072368,0.17900000000000002,0.20270230027911426,0.0029256506484359,5939.747,G3,Isaacson2024
G14032386155686,0.154,0.19700847960609097,0.0028393708229834,5950.27,G3,Isaacson2024
G14071578607460,0.134,0.1828504484112507,0.0058033248532895,5958.87,G2,Isaacson2024
G14082181073881,0.141,0.18440253477156698,0.0060175766986351005,5961.147,G2,Isaacson2024
G14031445154963,0.127,0.2041814348239635,0.0016899303100616,5961.87,G2,Isaacson2024
G14087075021847,0.12,0.18350758241302761,0.00460160687396685,5961.965,G0,Isaacson2024
L14029917998260,0.147,0.1986836995725036,0.012471249562803901,5970.035,G1,Isaacson2024
L15082404092320,0.155,0.2176794897006169,0.003984609674743,5973.8,G2,Isaacson2010
G14031367214077,0.158,0.2242377174492585,0.0089019871004069,5975.68,G2,Isaacson2024
G14075129418186,0.139,0.2038180062500026,0.004811901936473333,5976.887,G2,Isaacson2024
G14030632086179,0.16,0.20486137345864322,0.008468549875308101,5979.477,G2,Isaacson2024
G14081863701809,0.151,0.1930927680467206,0.0144173037501751,5983.66,G0,Isaacson2024
G13247781143370,0.18,0.205437336984332,0.0017839339665158,5985.56,G1,Isaacson2010
G14034098051038,0.154,0.210062775330806,0.0056564869207479,5985.78,G2,Isaacson2024
G14071665703511,0.24,0.2294065041659523,0.0129715694465614,5987.51,G3,Isaacson2024
G17164293735105,0.163,0.2060051840231871,0.0074671500532877,5990.3,G3,BoroSaikia2018
G14077821712052,0.201,0.22045228685607504,0.0064505513283921005,5991.62,G0,Isaacson2024
L15975462864257,0.24,0.2230479732662808,0.0176828747877381,5992.71,G3,Isaacson2010
G14074953268796,0.13,0.1905958078033525,0.0047190319805059,6000.46,G2,Isaacson2024
L8938102213511,0.144,0.1871867305955047,0.0011943274210141,6008.15,G1,Isaacson2010
L14071605677728,0.111,0.197026875893972,0.0031259176581733498,6010.805,G0,Isaacson2024
G14076718985710,0.142,0.19553025969562907,0.00585200277504435,6013.79,G2,Isaacson2024
L16725676540601,0.304125,0.2484988587205649,0.0022827020069792,6013.86,G2,Isaacson2010
G14077649256801,0.139,0.1958616864599215,0.0203844049588198,6027.32,G1,Isaacson2024
L15449945220944,0.17399999999999996,0.22710834535492422,0.007745406338492401,6028.59,G0,Isaacson2010
G14027561411759,0.141,0.2059650377060499,0.00718282597418675,6029.68,G0,Isaacson2024
G14035639805637,0.118,0.1768383066278518,0.0137483729487913,6029.693,G2,Isaacson2024
L14080626866123,0.214,0.23935433666371517,0.0063681375593348495,6039.009999999999,F9,Isaacson2024
G14028147578751,0.14000000000000007,0.1897400862522461,0.007709374159968475,6040.275,G2,Isaacson2024
G14035289899612,0.139,0.19791069822286395,0.00472035600455855,6042.625,G0,Isaacson2024
L15036566478256,0.14675,0.1996395928562551,0.0060717148462308,6044.67,G2,Isaacson2010
G14078342778187,0.134,0.1924584043177964,0.0065415906630699,6045.497,G0,Isaacson2024
G14080891188899,0.143,0.2001248644578771,0.0083476979201998,6049.17,G0,Isaacson2024
L14072635477338,0.234,0.2208102126857399,0.0160325435062332,6059.36,G2,Isaacson2024
G13198293862785,0.1488,0.2020397162584571,0.0012755812365152,6075.16,F5,GomesDaSilva2021
G14078788242957,0.148,0.1888983238689205,0.006384167198431949,6075.5,G0,Isaacson2024
L16376053198011,0.14300000000000002,0.2001976746319355,0.0050625261554883,6081.165,F7,Isaacson2010
G14076713929937,0.14000000000000007,0.1898830340371049,0.006818397802507949,6088.835,G2,Isaacson2024
G14061551318764,0.135,0.174929063749134,0.0034961692844574,6090.21,G0,Isaacson2024
L14081876441523,0.119,0.1762431445255659,0.0056530581643455,6092.96,F9,Isaacson2024
G17526555640653,0.36725000000000235,0.252565207031561,0.0014139774898711249,6096.895,G0,Isaacson2010
G14029986289373,0.135,0.2024844862026799,0.0041122711259456,6099.47,G0,Isaacson2024
L15398537640636,0.155,0.19550698578005873,0.0017298615097918,6101.377,F9,Isaacson2010
G14035222806375,0.127,0.2056346064789952,0.0045817598171406,6103.95,F7,Isaacson2024
G14076208844402,0.11600000000000006,0.19142104584221542,0.00791587073386015,6106.28,F9,Isaacson2024
G14076412083273,0.125,0.1808830297361214,0.0029571727374328,6111.61,F9,Isaacson2024
G14074373155668,0.124,0.1836155346841205,0.0069814670930787,6113.62,F7,Isaacson2024
G14030261020953,0.14599999999999994,0.18641764338333028,0.00535010159504834,6114.162,G1,Isaacson2024
G14083758853757,0.126,0.2010514554043903,0.0107963371596693,6121.86,F8,Isaacson2024
L14023403254440,0.122,0.1837132411719992,0.0066984871625072,6122.42,F8,Isaacson2024
G14077443490589,0.13399999999999992,0.19021275889161918,0.008062037705766299,6123.071999999999,F9,Isaacson2024
G14028026510408,0.122,0.19730183468690335,0.0069900591522538,6123.165,G0,Isaacson2024
G14030091182403,0.109,0.17956483662800302,0.0042363642899093,6124.27,F7,Isaacson2024
L14076769373396,0.105,0.16404578483968,0.0041593157684916,6127.54,G0,Isaacson2024
G16528366818790,0.1466,0.1991420659381295,0.0040850419237389,6155.87,F7,BoroSaikia2018
G14085660425096,0.124,0.2046461506375343,0.0052515218552949,6159.23,F7,Isaacson2024
L17423317074469,0.187,0.2020087368619681,0.0035566773082082,6161.52,G1,Isaacson2010
G14064888325759,0.119,0.2085781739807146,0.0053722171710436,6164.09,F7,Isaacson2024
G14080138065399,0.128,0.18682518080219596,0.0071426725364492506,6170.49,F7,Isaacson2024
G14431663449959,0.1674,0.1819999795249646,0.0106684119040141,6171.02,F7,GomesDaSilva2021
G14077365621565,0.102,0.2107992208607885,0.0061546472544604,6176.77,F7,Isaacson2024
G14032164994078,0.136,0.19428190560811395,0.0034838404641413996,6184.283,F7,Isaacson2024
L14035003860690,0.14,0.2015257439169287,0.016699701257672,6185.33,F7,Isaacson2024
G14080791668379,0.139,0.203888131077358,0.0030838825790554,6185.88,F7,Isaacson2024
G14086795003673,0.1369999999999999,0.2344043079294823,0.0069782579619651,6191.76,F8,Isaacson2024
G16649500811821,0.15789999999999998,0.1970642417147611,0.0087782296729563,6195.53,G0,Isaacson2010
G14077499993447,0.127,0.19774815942318585,0.00450842935670855,6195.695,F8,Isaacson2024
G14024771206050,0.115,0.1776751744728318,0.0119660933061161,6200.16,F7,Isaacson2024
G14035909194260,0.112,0.1983820594009562,0.0060211859589932,6208.46,F8,Isaacson2024
G14058597286237,0.12,0.19574271517227454,0.00326994028714715,6214.19,F7,Isaacson2024
G14080204844962,0.139,0.1928559297630447,0.0039684203947524,6218.85,F7,Isaacson2024
L14024829075908,0.16,0.226500766313794,0.0082768013999654,6219.19,F8,Isaacson2024
L15008237134121,0.2026666666665,0.19845674922040504,0.0053351480257054,6220.655,F7,Isaacson2010
L14084614538902,0.135,0.2263702444013974,0.012415268401604,6223.25,F7,Isaacson2024
