uid,CaIIHK_snr,SIndex,SIndexSigma,SIndexOri,SIndexOriSigma,source_id,ra,dec,type,period,eccentricity,K1,mass_ratio,f1,f1err,f2,f2err,inclination,teff,teff_err,logg,logg_err,feh,feh_err,logrRprimehk,logrRprimehkerr,logrRprimehkerrUniform,w3mag,w3magerr,kmag,kmagerr,Gmag,BpRp,iso_mass,iso_mass_err,iso_rad,iso_rad_err,iso_lum,iso_lum_err
G10035612271777,42.545258,0.417996,0.036491,0.249999,0.00711,Gaia DR3 5761924993836432000,132.170323,-3.85493,Orbital,590.1718915233732,0.2271554544239619,,,,,,,,6513.57,27.65,4.235,0.038,-0.14,0.021,-4.12316,0.04648,,11.358,0.214,11.333,0.026,12.518678,0.64342785,1.1991769302424855,0.0255208218950921,1.356302570928726,0.0852682506820626,2.961145541433265,0.3673535383731782
G10035648961064,11.375037,0.312605,0.135316,0.229463,0.026367,Gaia DR3 5761884861662046336,131.72823,-4.158011,Orbital,1017.2397929944428,0.3401393656075742,,,,,,,,5977.53,42.165,4.212,0.062,-0.192,0.043,-4.40818,,,11.636,0.275,11.77,0.024,13.143197,0.77548504,0.9970157739839344,0.0290013928633324,1.2641341609247223,0.0981705724242049,1.8389273507326864,0.2947945349616796
G10035914475950,42.948293,0.559118,0.063178,0.277498,0.012311,Gaia DR3 3072026902367619840,130.96052,-3.399003,Orbital,749.2803202133506,0.0002908500284958,,,,,,,,6690.117,46.247,4.138,0.072,-0.28,0.046,-3.94827,0.05672,0.09175,,,,,13.514952,0.5448017,1.2449861442765562,0.0507222152583526,1.5212078429807874,0.1553964338703222,4.178849295376336,0.8861470531371507
G10035958951831,24.737919,0.294713,0.062586,0.225977,0.012195,Gaia DR3 3072036175200925824,130.67236,-3.36062,SB1,102.75254507288624,0.2411563807813531,13.884522252544963,,,,,,,6158.29,28.77,4.278,0.041,-0.219,0.025,-4.39645,,,10.059,0.061,10.175,0.024,11.4525175,0.7083912,1.0576829810171766,0.0205046842376607,1.225456611366411,0.0622982029420407,1.942984734247327,0.2055238357507402
G10035989014161,38.371564,0.53298,0.052763,0.272404,0.010281,Gaia DR3 3072019892981024640,130.74424,-3.467208,Orbital,960.1634694699532,0.1389224157167473,,,,,,,,6220.195,30.455,4.081,0.042,-0.718,0.025,-4.05174,0.05156,0.10156,11.063,0.13,11.182,0.028,12.322081,0.6644068,0.9380708589239802,0.0207733894526291,1.4357719450123765,0.0803316505595566,2.7799397761965685,0.3272042184246508
G10036032939234,22.914454,0.357997,0.076504,0.238308,0.014907,Gaia DR3 5762102560669048704,131.45857,-3.784017,SB1,6.225211876870998,0.113616164595525,45.09886984959866,,,,,,,5863.09,25.4,4.411,0.036,0.135,0.021,-4.35885,,,10.696,0.089,10.785,0.023,12.244402,0.826437,1.0599294271477973,0.0099502089129673,1.0622362320845,0.0445516272949971,1.198598674994807,0.1040567857814322
G10036160186721,52.422462,0.838959,0.029899,0.332026,0.005826,Gaia DR3 5761886579648973952,131.486016,-4.181078,EclipsingBinary,0.6044668555259705,0.0,,,0.9976668953895568,0.0029165994,1.0,1.1195684e-06,71.99993370169084,7101.94,21.24,4.166,0.03,-0.47,0.017,-3.71661,0.01658,0.05547,,,,,13.01368,0.4984131,1.2996057915231825,0.0001508958973572,1.5877715910022012,0.0655387552955836,5.8111943413122455,0.4553302659705189
G10036185919915,22.75326,-0.005073,0.068509,0.167562,0.013349,Gaia DR3 5761496321740650752,131.391584,-4.510717,Orbital,697.3048057066476,0.8018767518990635,,,,,,,,,,,,,,,,,,,,,14.25892,0.8962326,0.8189446877366321,0.0102290402042736,0.9154945945674704,0.0452896176972495,0.7245847240517506,0.0719466979821296
G10036342000141,25.988548,0.571872,0.059122,0.279983,0.01152,Gaia DR3 3072060433176885120,131.18491,-3.057796,SB1,3.24092412917194,0.4040937479809686,22.21613513259386,,,,,,,7194.12,23.52,3.907,0.033,0.111,0.02,-3.89436,0.05016,0.08672,10.494,0.098,10.62,0.023,11.335497,0.43533993,1.798474400532332,0.0256213892911963,2.454014581645405,0.1253477195987772,14.55868809566838,1.4400169908017515
G10036450824442,94.65597,1.274698,0.01659,0.416933,0.003233,Gaia DR3 3072452275928605568,130.990844,-2.104256,SB1,15.212122205424729,0.397941059452829,48.81003176269976,,,,,,,7273.72,40.7,3.891,0.051,0.534,0.024,-3.51617,0.00601,0.03515,9.89,0.055,10.249,0.021,11.007908,0.46621227,1.995472865724212,0.0262257572609224,2.6188742626478443,0.1362416847931378,17.943634973707002,1.324178627189836
