wavelength_470712060,flux_470712060,wavlength_139202084,flux_139202084,wavelength_392605166,flux_392605166,wavelength_455405241,flux_455405241
3828.754,0.64714867,3822.5813,0.7454605,3823.3083,0.8645727,3824.14,0.7925936
3829.636,0.6009678,3823.4622,0.7606911,3824.1892,0.83405995,3825.0208,0.7378564
3830.518,0.645882,3824.343,0.7459163,3825.07,0.7889532,3825.9016,0.73067886
3831.4006,0.60662836,3825.224,0.690115,3825.9512,0.77757466,3826.7827,0.7335761
3832.2832,0.4938299,3826.1057,0.69485056,3826.8328,0.7768254,3827.6643,0.7221758
3833.166,0.47485584,3826.987,0.6930188,3827.714,0.7685908,3828.5457,0.73091763
3834.049,0.4920559,3827.869,0.68422705,3828.596,0.74801904,3829.4275,0.71260357
3834.9321,0.50546813,3828.751,0.6456897,3829.478,0.74079436,3830.3096,0.7124728
3835.8157,0.48313296,3829.633,0.657044,3830.36,0.7031865,3831.1917,0.6523783
3836.6992,0.4783331,3830.5156,0.6197659,3831.2427,0.68489796,3832.0742,0.5875045
3837.583,0.46811372,3831.3982,0.5776602,3832.1252,0.6099632,3832.9568,0.5329033
3838.467,0.52165926,3832.281,0.58554953,3833.008,0.58940905,3833.8396,0.4913819
3839.3513,0.5351519,3833.164,0.5503324,3833.891,0.5458456,3834.7227,0.49297994
3840.2358,0.564552,3834.047,0.50931615,3834.7742,0.5488485,3835.6057,0.50940263
3841.1204,0.6856713,3834.9307,0.5039098,3835.6577,0.5531445,3836.4893,0.51550955
3842.0051,0.7158809,3835.8142,0.47705278,3836.5413,0.57287693,3837.3728,0.5420203
3842.8904,0.73611104,3836.698,0.48460305,3837.425,0.6043426,3838.2566,0.5572359
3843.7756,0.79529285,3837.582,0.5316543,3838.309,0.6138854,3839.1406,0.5995591
3844.661,0.8071676,3838.4663,0.5714101,3839.1934,0.68646187,3840.025,0.66438764
3845.5466,0.7784991,3839.3508,0.60442346,3840.078,0.73242533,3840.9094,0.7245602
3846.4326,0.81484026,3840.2354,0.64995897,3840.9624,0.7902546,3841.794,0.7933361
3847.3186,0.9213705,3841.12,0.7089606,3841.8472,0.854474,3842.6787,0.849702
3848.2048,0.87966794,3842.0054,0.7469518,3842.7324,0.8994513,3843.564,0.86556995
3849.0913,0.8586427,3842.8906,0.7906066,3843.6177,0.90442336,3844.4492,0.8862278
3849.978,0.8682212,3843.776,0.7776025,3844.503,0.9299183,3845.3345,0.9033635
3850.865,0.8012542,3844.6616,0.8468467,3845.3887,0.94315463,3846.2202,0.9498904
3851.752,0.85209316,3845.5476,0.82015276,3846.2747,0.95305645,3847.1062,0.9806505
3852.6392,0.9199183,3846.4336,0.8266606,3847.1606,0.9624333,3847.9922,0.98338467
3853.5269,0.887537,3847.3198,0.8653734,3848.0469,0.96667045,3848.8784,0.9795711
3854.4146,0.87949145,3848.2063,0.8475815,3848.9333,0.9617764,3849.765,0.9325573
3855.3022,0.8156248,3849.093,0.8495384,3849.82,0.9542854,3850.6516,0.98240834
3856.1904,0.8140883,3849.98,0.87817484,3850.707,0.97942734,3851.5386,0.99068177
3857.0789,0.76654154,3850.867,0.8697546,3851.594,1.0005178,3852.4255,0.99684054
3857.9673,0.75404054,3851.7542,0.87348753,3852.4812,1.0041646,3853.3127,0.9818258
3858.856,0.74426556,3852.6418,0.8840877,3853.369,0.9998122,3854.2004,0.98811316
3859.7449,0.71854526,3853.5295,0.87107545,3854.2566,0.98390573,3855.0881,0.966515
3860.634,0.798081,3854.4172,0.8733721,3855.1443,0.95798755,3855.9758,0.9343991
3861.5234,0.8439224,3855.3054,0.8463078,3856.0325,0.9331408,3856.864,0.9285156
3862.4128,0.8762301,3856.1938,0.8148278,3856.921,0.92567223,3857.7524,0.9035785
3863.3027,0.92719865,3857.0823,0.82246447,3857.8093,0.89828694,3858.6409,0.8685924
3864.1926,0.90357673,3857.971,0.78594923,3858.698,0.87568754,3859.5295,0.8452915
3865.0828,0.93888855,3858.8599,0.8005625,3859.587,0.88406473,3860.4185,0.88199466
3865.9731,0.9142893,3859.749,0.8196548,3860.476,0.9181041,3861.3076,0.97785944
3866.8638,0.89361227,3860.6384,0.8300776,3861.3655,0.95545894,3862.197,0.99650013
3867.7544,0.8711814,3861.5278,0.8736255,3862.255,0.98106897,3863.0864,1.0654132
3868.6455,0.88558835,3862.4177,0.8552072,3863.1448,0.99266785,3863.9763,1.035954
3869.5366,0.9557386,3863.3076,0.88888025,3864.0347,0.98158795,3864.8662,1.0177464
3870.428,0.8127822,3864.1978,0.8817336,3864.9248,0.9974913,3865.7563,1.0231203
3871.3196,0.803977,3865.0881,0.8646908,3865.8152,0.993218,3866.6467,1.017188
